,Title,Organization,Skills,Ratings,Review counts,Metadata
30,Meta Android Developer,Meta," React Native, Android Studio, Restful API, Version Control, UI/UX Research, Usability Testing, Git (Version Control System), Data Structures, Jest (JavaScript Testing Framework), Unix Commands, Android Jetpack, Android Development, Persona (User Experience), GitHub, Interaction Design, Kotlin, User Experience Design, User Interface and User Experience (UI/UX) Design, Mobile Development, Javascript",0,0,Beginner · Professional Certificate · 3 - 6 Months
31,Meta iOS Developer,Meta," React Native, iOS Development, Core Data (Software), Restful API, Version Control, Apple iOS, UI/UX Research, Usability Testing, Apple Xcode, Data Structures, Swift Programming, Jest (JavaScript Testing Framework), User Interface (UI), Unix Commands, Git (Version Control System), Persona (User Experience), GitHub, Interaction Design, Mobile Development, Javascript",0,0,Beginner · Professional Certificate · 3 - 6 Months
32,RAG for Generative AI Applications,IBM," Prompt Engineering, Generative AI, Large Language Modeling, User Interface (UI), Application Development, Semantic Web, Database Systems, Data Storage Technologies, Databases, NoSQL, Full-Stack Web Development, AI Personalization, Flask (Web Framework), Database Management, JSON, Artificial Intelligence, Application Frameworks, Query Languages, Database Architecture and Administration, Jupyter",0,0,Intermediate · Specialization · 1 - 3 Months
33,AI Python for Beginners,DeepLearning.AI," Large Language Modeling, Prompt Engineering, Artificial Intelligence, Jupyter, Python Programming, Data Analysis, ChatGPT, Application Development, Generative AI, Scripting, Automation, Computer Programming, Application Programming Interface (API), Data Structures",0,0,Beginner · Course · 1 - 4 Weeks
34,"DevOps, Cloud, and Agile Foundations",IBM," User Story, Cloud Computing Architecture, Agile Software Development, Cloud Services, Scrum (Software Development), Agile Methodology, Kanban Principles, DevOps, Backlogs, Cloud Security, Cloud Technologies, Cloud Infrastructure, Sprint Retrospectives, Cloud Platforms, Agile Project Management, Cloud Hosting, Cloud Computing, Cloud-Native Computing, CI/CD, Test Driven Development (TDD)",0,0,Beginner · Specialization · 3 - 6 Months
35,Connect and Protect: Networks and Network Security,Google," Network Security, Hardening, Network Protocols, Cloud Security, Network Architecture, Intrusion Detection and Prevention, TCP/IP, Vulnerability Assessments, Computer Networking, Cybersecurity, Network Infrastructure, Firewall, Cloud Computing, Virtual Private Networks (VPN), Encryption",0,0,Beginner · Course · 1 - 4 Weeks
36,Digital Product Management,University of Virginia," Usability Testing, Agile Product Development, New Product Development, Continuous Delivery, Agile Software Development, User Story, Product Management, Agile Methodology, Product Testing, Agile Project Management, Team Performance Management, Team Management, Design Thinking, Team Building, Team Leadership, Product Improvement, DevOps, Customer Analysis, Innovation, Analytics",0,0,Beginner · Specialization · 3 - 6 Months
37,Introduction to Programming with Python and Java,University of Pennsylvania," Matplotlib, Object Oriented Design, Java, Object Oriented Programming (OOP), Data Analysis, Unit Testing, Pandas (Python Package), Java Programming, Eclipse (Software), Data Visualization, Data Structures, Data Science, Data Cleansing, Debugging, Pivot Tables And Charts, Data Visualization Software, Software Testing, Programming Principles, Python Programming, Computer Programming",0,0,Beginner · Specialization · 3 - 6 Months
38,IBM Applied DevOps Engineering,IBM," User Story, CI/CD, Istio, Open Web Application Security Project (OWASP), Continuous Integration, Application Deployment, Test Driven Development (TDD), Gherkin (Scripting Language), Jenkins, Kubernetes, Agile Software Development, Scrum (Software Development), DevOps, Code Coverage, OpenShift, Cloud Applications, Secure Coding, Grafana, System Monitoring, Agile Methodology",0,0,Intermediate · Professional Certificate · 3 - 6 Months
39,Tools of the Trade: Linux and SQL,Google," Bash (Scripting Language), Operating Systems, File Systems, Linux Commands, Linux, SQL, Unix, Database Management, Command-Line Interface, Relational Databases, Authorization (Computing), Authentications, User Accounts",0,0,Beginner · Course · 1 - 4 Weeks
40,"Start the UX Design Process: Empathize, Define, and Ideate",Google," User Experience Design, Persona (User Experience), Web Content Accessibility Guidelines, User Story, Usability, User Research, Human Factors, Human Centered Design, Ideation, User Flows, Competitive Analysis, Mockups",0,0,Beginner · Course · 1 - 4 Weeks
41,Data Structures and Algorithms,University of California San Diego," Data Structures, Graph Theory, Algorithms, Network Routing, Program Development, Network Model, Bioinformatics, Operations Research, Data Storage, Development Testing, Test Engineering, Theoretical Computer Science, Computational Thinking, Network Analysis, Test Case, Programming Principles, Computer Programming, Epidemiology, Software Testing, Debugging",0,0,Intermediate · Specialization · 3 - 6 Months
42,Microsoft Python Development,Microsoft," Web Scraping, Data Structures, Git (Version Control System), Generative AI, Version Control, Matplotlib, Plotly, DevOps, Agile Methodology, Web Development, Data Ethics, Flask (Web Framework), Data Visualization, Scripting, GitHub, Debugging, Data Cleansing, Data Analysis, Automation, Cloud Computing",0,0,Beginner · Professional Certificate · 3 - 6 Months
43,Algorithms,Stanford University," Data Structures, Graph Theory, Algorithms, Bioinformatics, Theoretical Computer Science, Network Model, Network Analysis, Computational Thinking, Mathematical Theory & Analysis, Analysis, Network Routing, Probability, Operations Research, Design Strategies",0,0,Intermediate · Specialization · 3 - 6 Months
44,Linear Algebra for Machine Learning and Data Science,DeepLearning.AI," Linear Algebra, NumPy, Dimensionality Reduction, Machine Learning Methods, Jupyter, Data Manipulation, Data Science, Applied Mathematics, Machine Learning, Python Programming, Artificial Intelligence",0,0,Intermediate · Course · 1 - 4 Weeks
45,Programming for Everybody (Getting Started with Python),University of Michigan," Programming Principles, Computer Programming, Python Programming, Software Installation, Development Environment",0,0,Beginner · Course · 1 - 3 Months
46,Meta React,Meta," Jest (JavaScript Testing Framework), React.js, Web Applications, Event-Driven Programming, JavaScript Frameworks, Application Programming Interface (API), Application Development, UI Components, Unit Testing, Front-End Web Development, Software Design Patterns, HTML and CSS, Javascript, Integration Testing",0,0,Intermediate · Specialization · 1 - 3 Months
47,Epic Games Game Design,Epic Games," Unreal Engine, Game Design, Video Game Development, Animation and Game Design, Ideation, 3D Modeling, Visualization (Computer Graphics), Software Documentation, Software Design Documents, User Experience Design, Computer Graphics, Usability, User Interface (UI), User Experience, User Interface (UI) Design, Interactive Design, Virtual Environment, Version Control, Conceptual Design, Prototyping",0,0,Beginner · Professional Certificate · 3 - 6 Months
48,"Assets, Threats, and Vulnerabilities",Google," Threat Modeling, Threat Management, Vulnerability Management, Cyber Threat Intelligence, Cybersecurity, Cyber Attacks, Vulnerability Assessments, Threat Detection, MITRE ATT&CK Framework, Data Security, Cyber Risk, NIST 800-53, Authorization (Computing), Malware Protection, Authentications, Security Strategy, Security Controls, Risk Management Framework, Identity and Access Management, Cryptography",0,0,Beginner · Course · 1 - 4 Weeks
49,Amazon Junior Software Developer,Amazon," Git (Version Control System), Software Development Methodologies, JUnit, Requirements Analysis, Version Control, Application Development, Software Development Life Cycle, SQL, Full-Stack Web Development, Test Driven Development (TDD), Systems Development, Software Development, Restful API, Object Oriented Programming (OOP), Object Oriented Design, Database Management, MySQL, Digital Transformation, Java Programming, Generative AI",0,0,Beginner · Professional Certificate · 3 - 6 Months
50,Agile Development,University of Virginia," Usability Testing, Agile Product Development, Continuous Delivery, Agile Software Development, User Story, Agile Methodology, Product Testing, Agile Project Management, Team Performance Management, Team Management, Design Thinking, Team Building, Team Leadership, Product Improvement, DevOps, Customer Analysis, Analytics, Product Management, Product Development, Persona (User Experience)",0,0,Beginner · Specialization · 3 - 6 Months
51,Microsoft Power BI and Power Platform for Productivity,Microsoft," Extract, Transform, Load, Star Schema, Microsoft Power Platform, Data Analysis Expressions (DAX), Data Storytelling, Microsoft Power Automate/Flow, Dashboard, Microsoft Excel, Excel Formulas, Power BI, Data-Driven Decision-Making, Microsoft Copilot, Data Presentation, Spreadsheet Software, Data Transformation, Data Literacy, Data Modeling, Data Visualization, Data Analysis, Business Intelligence",0,0,Beginner · Specialization · 3 - 6 Months
52,IBM UI/UX Designer,IBM," User Story, Information Architecture, UI/UX Research, User Research, User Interface and User Experience (UI/UX) Design, User Experience, Agile Software Development, Scrum (Software Development), Usability Testing, User Centered Design, Agile Methodology, Usability, Design Research, Responsive Web Design, Kanban Principles, User Interface (UI), Figma (Design Software), Wireframing, Design Thinking, Prototyping",0,0,Beginner · Professional Certificate · 3 - 6 Months
53,"JavaScript Programming with React, Node & MongoDB",IBM," Node.JS, Server Side, MongoDB, React Redux, NoSQL, Restful API, React.js, Front-End Web Development, JavaScript Frameworks, Ajax, Javascript, Back-End Web Development, UI Components, Application Deployment, Data Structures, Authentications, Database Development, Debugging, Full-Stack Web Development, Web Applications",0,0,Beginner · Specialization · 3 - 6 Months
54,Python 3 Programming,University of Michigan," Unified Modeling Language, JSON, Object Oriented Programming (OOP), Software Design, Debugging, Object Oriented Design, Data Processing, Web Scraping, Unit Testing, Programming Principles, Python Programming, Data Import/Export, Restful API, Image Analysis, Data Manipulation, Jupyter, Computer Programming, Maintainability, Data Structures, File Management",0,0,Beginner · Specialization · 3 - 6 Months
55,Google Professional Workspace Administrator,Google Cloud," User Provisioning, Data Governance, Google Workspace, Data Loss Prevention, Gmail, User Accounts, Information Management, Email Security, Data Management, Data Security, Document Management, Identity and Access Management, Mobile Security, Records Management, Data Storage, Security Management, Cloud Security, Service Management, Scripting, Technical Support",0,0,Beginner · Professional Certificate · 1 - 3 Months
56,Microsoft AI & ML Engineering,Microsoft," Unsupervised Learning, Generative AI, Large Language Modeling, Data Management, Natural Language Processing, MLOps (Machine Learning Operations), Supervised Learning, Microsoft Azure, Deep Learning, Artificial Intelligence and Machine Learning (AI/ML), Infrastructure Architecture, Cloud Infrastructure, Generative AI Agents, Applied Machine Learning, Reinforcement Learning, Data Ethics, Prompt Engineering, Data Processing, Artificial Intelligence, Application Deployment",0,0,Intermediate · Professional Certificate · 3 - 6 Months
57,Microsoft Full-Stack Developer,Microsoft," CI/CD, GitHub, C# (Programming Language), HTML and CSS, Load Balancing, Continuous Integration, Git (Version Control System), Role-Based Access Control (RBAC), Scalability, Object Oriented Programming (OOP), Authentications, ASP.NET, Full-Stack Web Development, Web Development, Debugging, SQL, Application Deployment, Microsoft Copilot, .NET Framework, Graph Theory",0,0,Beginner · Professional Certificate · 3 - 6 Months
58,Sound the Alarm: Detection and Response,Google," Incident Response, Computer Security Incident Management, Intrusion Detection and Prevention, Event Monitoring, Threat Detection, Incident Management, Security Information and Event Management (SIEM), Cybersecurity, Cyber Threat Hunting, Continuous Monitoring, Network Security, Network Monitoring, Document Management, Network Analysis, Splunk, Technical Documentation, TCP/IP, Network Protocols",0,0,Beginner · Course · 1 - 4 Weeks
59,Build Wireframes and Low-Fidelity Prototypes,Google," Storyboarding, Wireframing, Information Architecture, Figma (Design Software), User Story, User Experience Design, User Centered Design, Prototyping, User Interface (UI), Usability, Mockups",0,0,Beginner · Course · 1 - 4 Weeks
60,Cybersecurity for Everyone,"University of Maryland, College Park"," Cyber Risk, Cyber Security Policies, Security Management, Cybersecurity, Risk Management, Cyber Security Strategy, Cyber Attacks, Cyber Governance, Infrastructure Security, Telecommunications, Computer Security Awareness Training, Threat Detection, Enterprise Security, Security Awareness, General Networking, Data Security, Vulnerability, Public Safety and National Security, Governance, Political Sciences",0,0,Beginner · Course · 1 - 3 Months
61,Automate Cybersecurity Tasks with Python,Google," Debugging, Python Programming, Cybersecurity, Cyber Security Assessment, Scripting, Programming Principles, Algorithms, Automation, Computer Programming, Integrated Development Environments, File Management, Data Structures",0,0,Beginner · Course · 1 - 4 Weeks
62,Introduction to Generative AI for Software Development,DeepLearning.AI," Prompt Engineering, Large Language Modeling, ChatGPT, Generative AI, Code Review, Software Development, Program Development, Software Development Methodologies, Machine Learning, Artificial Intelligence and Machine Learning (AI/ML)",0,0,Beginner · Course · 1 - 4 Weeks
63,Introduction to Discrete Mathematics for Computer Science,University of California San Diego," Graph Theory, Logical Reasoning, Combinatorics, Computational Logic, Deductive Reasoning, Cryptography, Probability, Key Management, Computational Thinking, Encryption, Network Analysis, Public Key Cryptography Standards (PKCS), Algorithms, Theoretical Computer Science, Python Programming, Data Structures, Cybersecurity, Arithmetic, Computer Programming, Network Routing",0,0,Beginner · Specialization · 3 - 6 Months
64,Developing Mobile Apps with React Native,IBM," React Native, Flutter (Software), Mobile Development, React Redux, React.js, Front-End Web Development, JavaScript Frameworks, Ajax, Cross Platform Development, Javascript, Apple iOS, UI Components, Data Structures, Back-End Web Development, Debugging, iOS Development, User Story, Full-Stack Web Development, Web Applications, Android Development",0,0,Beginner · Specialization · 3 - 6 Months
65,"C, Go, and C++: A Comprehensive Introduction to Programming","University of California, Santa Cruz"," C++ (Programming Language), Go (Programming Language), Debugging, C (Programming Language), Data Structures, Object Oriented Programming (OOP), Software Design Patterns, Object Oriented Design, Programming Principles, Computer Programming, Unit Testing, Command-Line Interface, Integrated Development Environments, Algorithms, Graph Theory, Software Testing, Program Development, Computer Science, Computational Thinking, File Management",0,0,Intermediate · Specialization · 3 - 6 Months
66,Coding for Everyone: C and C++,"University of California, Santa Cruz"," C++ (Programming Language), Debugging, C (Programming Language), Object Oriented Programming (OOP), Software Design Patterns, Programming Principles, Data Structures, Computer Programming, Algorithms, Command-Line Interface, Graph Theory, Program Development, Computer Science, Computational Thinking, Integrated Development Environments, Artificial Intelligence, File Systems, Game Design",0,0,Beginner · Specialization · 3 - 6 Months
67,GPU Programming,Johns Hopkins University," Artificial Neural Networks, Image Analysis, Event-Driven Programming, C and C++, Scalability, Deep Learning, Software Development, Machine Learning Methods, Performance Tuning, Linear Algebra, Distributed Computing, System Programming, Computer Graphics, Computer Hardware, Computer Vision, Computer Architecture, OS Process Management, Data Structures, Performance Testing, Machine Learning",0,0,Intermediate · Specialization · 3 - 6 Months
68,C and Go: Classical and Modern Programming,"University of California, Santa Cruz"," Go (Programming Language), Debugging, C (Programming Language), Data Structures, C++ (Programming Language), Object Oriented Design, Object Oriented Programming (OOP), Programming Principles, Computer Programming, Unit Testing, Command-Line Interface, Integrated Development Environments, Computer Science, Software Testing, Algorithms, Program Development, Computational Thinking, File Management, Integration Testing, File Systems",0,0,Intermediate · Specialization · 3 - 6 Months
69,Claude Code: Software Engineering with Generative AI Agents,Vanderbilt University," Prompt Engineering, Version Control, Generative AI Agents, Git (Version Control System), Continuous Integration, Scalability, Generative AI, Software Quality Assurance, Software Development, UI Components, Artificial Intelligence, Software Development Life Cycle, Software Architecture, Automation, Software Testing, Software Design, Software Development Methodologies",0,0,Beginner · Course · 1 - 3 Months
70,Put It to Work: Prepare for Cybersecurity Jobs,Google," Incident Response, Computer Security Incident Management, Incident Management, Cybersecurity, Cyber Threat Intelligence, Security Management, Security Awareness, Data Ethics, Data Security, Personally Identifiable Information, Technical Communication, Artificial Intelligence",0,0,Beginner · Course · 1 - 3 Months
71,Agile with Atlassian Jira,Atlassian," Jira (Software), Agile Methodology, Scrum (Software Development), Kanban Principles, Agile Project Management, Lean Methodologies, Backlogs, Sprint Planning, Sprint Retrospectives, User Story, Workflow Management, Project Management, Product Requirements, Query Languages, Software Versioning, Continuous Improvement Process",0,0,Beginner · Course · 1 - 4 Weeks
72,Conduct UX Research and Test Early Concepts,Google," UI/UX Research, Usability Testing, Presentations, User Experience Design, User Research, Mobile Development, Data Ethics, Research Design, Prototyping, Technical Communication, Information Privacy",0,0,Beginner · Course · 1 - 4 Weeks
73,Software Product Management,University of Alberta," Requirements Analysis, Agile Software Development, Agile Methodology, Kanban Principles, Project Planning, Requirements Elicitation, Sprint Retrospectives, Requirements Management, Functional Requirement, Business Requirements, Sprint Planning, Software Development Methodologies, Software Development Life Cycle, Scrum (Software Development), Product Requirements, Software Technical Review, Backlogs, Risk Management Framework, Product Management, Project Management",0,0,Beginner · Specialization · 3 - 6 Months
74,IBM Mainframe Developer,IBM," Mainframe Computing, COBOL (Programming Language), Software Development Life Cycle, z/OS, Unit Testing, Systems Analysis, Job Control Language (JCL), IBM DB2, Systems Development, Debugging, Pseudocode, Software Development Methodologies, Virtualization, Agile Methodology, Software Development, Virtualization and Virtual Machines, Test Driven Development (TDD), Program Development, Programming Principles, Editing",0,0,Intermediate · Professional Certificate · 3 - 6 Months
75,Preparation for CompTIA A+ Certification,IBM," Desktop Support, Hardware Troubleshooting, Operating Systems, Network Troubleshooting, Command-Line Interface, System Support, Computer Hardware, Network Security, Mobile Security, Microsoft Windows, General Networking, Unix Commands, Technical Support, Mac OS, Network Administration, Linux, System Configuration, Infrastructure Security, Computer Networking, Computer Displays",0,0,Intermediate · Specialization · 3 - 6 Months
